"","Airline","FareVar","FareSD","CorFareDifnDays"
"296","6E",6612141.84832675,2571.40853392197,0.10234994538561
"297","6E",527597.077742947,726.35878031655,-0.162312310987399
"298","6E",473671.024808172,688.237622342874,-0.0505107673589824
"299","6E",169553.36091954,411.768576896708,-0.807264550152267
"300","6E",2533117.2216415,1591.57696064045,-0.660291604933601
"301","6E",838720.302836053,915.816740858155,-0.661509520396229
"302","6E",624751.618104488,790.412308927744,-0.764313296784238
"303","6E",5992709.41499514,2448.00110600366,-0.547758264106299
"304","6E",9754229.19357367,3123.1761387366,-0.55656623791533
"305","6E",803970.439183673,896.6439868664,-0.0923197294959433
"306","6E",288441.609929078,537.06760275507,-0.362352985951155
"307","6E",469997.830065359,685.563877450788,-0.604922147718011
"308","6E",311370.833570413,558.006123237382,0.189423503624344
"309","G8",188094.730568142,433.698893897762,-0.452886273891325
"310","6E",15066892.9805195,3881.60958630817,-0.715467416206398
"311","6E",25072.3791763792,158.342600636655,-0.229442233775396
"312","6E",793069.193050193,890.544324023343,-0.623420750512736
"313","6E",174381.446808511,417.590046347504,-0.625492570684461
"314","G8",261956.205261336,511.816573843927,-0.246245833513218
"315","6E",66782.9357429719,258.423945761556,-0.453029284756361
"316","6E",1541.33333333333,39.2598183048946,-1
"317","6E",667641.581609195,817.093373862006,-0.409729678782383
"318","6E",8392067.4,2896.90652248222,-0.760973583629858
"319","6E",3718598.94736842,1928.36691201867,-0.883172069571622
"320","6E",692381.621243885,832.094718913589,0.260726503482288
"321","6E",3497780.75897436,1870.23548222526,-0.726361963107442
"322","6E",5386128,2320.80330920136,-1
"323","6E",4978239.03296703,2231.19677145854,-0.896487551177565
"324","6E",428190.405649717,654.362594934733,-0.0946607905126577
"325","6E",2744618.25108225,1656.68894216212,0.876279850445617
"326","6E",132114.285714286,363.475289000897,0.904534033733291
"327","6E",93653.4545454545,306.028519170117,-0.7926239891046
"328","6E",90984.5143288085,301.636394237845,-0.659756941037844
"329","6E",706641.751633987,840.619861550979,-0.913722942165909
"330","6E",643297.96969697,802.058582459517,-0.675431315153795
"331","6E",3522332.83516484,1876.78790361746,-0.874451690839945
"332","6E",330851.323076923,575.196769007722,-0.221504086345556
"333","G8",403418.181818182,635.152093453357,-0.612372435695794
"334","6E",2847849.20615385,1687.55717122527,-0.605426279109179
"335","6E",4790426.10526316,2188.70420689118,-0.682850049587865
"336","6E",397753.515789474,630.67702969862,-0.285879591564664
"337","G8",449831.964166269,670.695135039959,-0.568945461297408
"338","6E",374071.001782531,611.613441466529,-0.486501548110158
"339","6E",692447.151515151,832.134094671737,-0.98563659803576
