"","Arr","Dep","Airline","Curr_Time","FlightNo"
"262","BOM","AMD","G8","E",370
"263","BOM","GOI","G8","M",376
"264","BOM","IXC","G8","E",384
"265","BOM","JAI","G8","M",388
"266","BOM","JAI","G8","E",392
"267","BOM","NAG","G8","M",141
"268","DEL","LKO","G8","M",208
"269","DEL","LKO","G8","E",188
"270","GOI","BOM","G8","M",375
"271","GOI","BOM","G8","E",379
"272","IXC","BOM","G8","M",381
"273","JAI","BOM","G8","M",390
"274","LKO","DEL","G8","M",189
"275","LKO","DEL","G8","E",181
"276","NAG","BOM","G8","E",142
"277","AMD","BOM","6E","M",213
"278","AMD","BOM","6E","E",639
"279","AMD","BOM","6E","E",433
"280","AMD","BOM","6E","E",243
"281","BOM","AMD","6E","M",958
"282","BOM","AMD","6E","E",216
"283","BOM","GOI","6E","E",418
"284","BOM","GOI","6E","E",192
"285","BOM","IDR","6E","E",587
"286","BOM","IDR","6E","M",655
"287","BOM","IXC","6E","E",459
"288","BOM","JAI","6E","M",695
"289","BOM","JAI","6E","E",254
"290","BOM","JAI","6E","M",218
"291","BOM","NAG","6E","E",404
"292","BOM","VTZ","6E","M",608
"293","DED","BOM","6E","M",205
"294","DED","BOM","6E","M",964
"295","DEL","LKO","6E","M",769
"296","DEL","LKO","6E","E",633
"297","DEL","LKO","6E","E",185
"298","DEL","LKO","6E","M",733
"299","IDR","BOM","6E","E",658
"300","IXC","BOM","6E","M",247
"301","JAI","BOM","6E","M",207
"302","JAI","BOM","6E","E",696
"303","JAI","BOM","6E","E",217
"304","LKO","DEL","6E","M",444
"305","LKO","DEL","6E","E",528
"306","LKO","DEL","6E","E",792
"307","NAG","BOM","6E","M",543
"308","VTZ","BOM","6E","M",366
"309","DEL","BLR","6E","E",572
"310","DEL","BLR","6E","E",946
"311","DEL","BOM","6E","M",178
"312","DEL","BOM","6E","E",138
"313","DEL","BOM","G8","E",343
"314","HYD","BOM","6E","M",366
"315","DEL","CCU","6E","E",274
"316","HYD","CCU","6E","E",538
"317","BLR","DEL","G8","E",325
"318","BOM","DEL","6E","M",993
"319","BOM","DEL","G8","E",346
"320","CCU","DEL","6E","E",173
"321","CCU","DEL","6E","M",591
"322","HYD","DEL","6E","M",841
"323","MAA","DEL","6E","M",443
"324","BLR","HYD","6E","M",151
"325","MAA","HYD","6E","M",311
"326","BOM","MAA","6E","M",782
"327","DEL","PNQ","6E","E",528
"328","BOM","BLR","6E","M",424
"329","BOM","DEL","6E","M",181
"330","CCU","HYD","6E","M",599
"331","BOM","AMD","6E","M",242
"332","MAA","BOM","6E","E",297
"333","BLR","DEL","6E","E",481
"334","BLR","DEL","6E","M",121
"335","HYD","DEL","6E","M",683
"336","HYD","DEL","6E","E",635
"337","BOM","HYD","6E","M",608
"338","BOM","BLR","6E","M",482
"339","BOM","DEL","6E","E",197
"340","BOM","AMD","6E","M",214
"341","CCU","BLR","6E","M",344
"342","BOM","DEL","G8","M",189
"343","BLR","HYD","6E","M",413
"344","BOM","AMD","6E","M",722
"345","BOM","BLR","6E","E",566
"346","CCU","DEL","SG","M",251
"347","DEL","MAA","G8","E",451
"348","AMD","BOM","G8","E",365
"349","LKO","DEL","6E","M",634
"350","DEL","CCU","6E","M",296
"351","BLR","DEL","6E","M",115
"352","BOM","MAA","6E","M",495
"353","HYD","BLR","6E","E",316
"354","BOM","CCU","G8","E",102
"355","MAA","DEL","G8","E",171
"356","DEL","HYD","6E","M",644
"357","PNQ","BLR","6E","M",102
"358","MAA","CCU","6E","M",526
"359","DEL","HYD","6E","E",684
"360","BOM","BLR","6E","M",464
"361","PNQ","DEL","6E","M",769
"362","BOM","DEL","6E","M",179
"363","DEL","HYD","6E","M",846
"364","DEL","MAA","6E","M",964
"365","DEL","MAA","G8","E",341
"366","JAI","BOM","6E","M",416
"367","DEL","BLR","6E","M",774
"368","HYD","BLR","6E","M",266
"369","MAA","DEL","6E","E",355
"370","BLR","BDQ","9W","M",397
"371","BOM","BDQ","9W","M",397
"372","BOM","BDQ","9W","E",461
"373","DEL","BDQ","AI","E",820
"374","BOM","BLR","9W","M",410
"375","BOM","BLR","9W","M",478
"376","BOM","BLR","9W","E",416
"377","BOM","BLR","9W","E",7146
"378","BOM","BLR","9W","E",382
"379","BOM","BLR","9W","E",442
"380","BOM","BLR","AI","M",640
"381","BOM","BLR","AI","E",608
"382","BOM","BLR","UK","M",875
"383","CCU","BLR","9W","M",7048
"384","CCU","BLR","AI","M",772
"385","DEL","BLR","9W","M",818
"386","DEL","BLR","9W","M",839
"387","DEL","BLR","9W","E",7120
"388","DEL","BLR","9W","E",816
"389","DEL","BLR","AI","M",804
"390","DEL","BLR","AI","M",505
"391","DEL","BLR","AI","E",87
"392","DEL","BLR","AI","E",503
"393","DEL","BLR","AI","E",173
"394","DEL","BLR","UK","M",868
"395","DEL","BLR","UK","E",836
"396","HYD","BLR","9W","E",2803
"397","HYD","BLR","9W","E",2741
"398","HYD","BLR","AI","M",513
"399","HYD","BLR","AI","E",977
"400","HYD","BLR","AI","E",516
"401","MAA","BLR","9W","M",2304
"402","MAA","BLR","9W","M",2306
"403","MAA","BLR","9W","E",2314
"404","MAA","BLR","9W","E",2738
"405","MAA","BLR","9W","E",2310
"406","PNQ","BLR","9W","E",7051
"407","PNQ","BLR","AI","M",513
"408","BDQ","BOM","9W","M",341
"409","BDQ","BOM","9W","E",343
"410","BLR","BOM","9W","M",7145
"411","BLR","BOM","9W","E",495
"412","BLR","BOM","AI","M",639
"413","BLR","BOM","AI","M",603
"414","BLR","BOM","AI","E",607
"415","BLR","BOM","AI","E",609
"416","BLR","BOM","UK","E",850
"417","CCU","BOM","9W","M",484
"418","CCU","BOM","9W","E",625
"419","CCU","BOM","9W","E",617
"420","CCU","BOM","AI","M",675
"421","CCU","BOM","AI","E",774
"422","DEL","BOM","9W","M",355
"423","DEL","BOM","9W","M",339
"424","DEL","BOM","9W","E",357
"425","DEL","BOM","9W","E",361
"426","DEL","BOM","9W","E",353
"427","DEL","BOM","AI","M",809
"428","DEL","BOM","AI","M",864
"429","DEL","BOM","AI","M",806
"430","DEL","BOM","AI","M",348
"431","DEL","BOM","AI","M",635
"432","DEL","BOM","AI","E",660
"433","DEL","BOM","AI","E",101
"434","DEL","BOM","UK","M",930
"435","DEL","BOM","UK","M",970
"436","DEL","BOM","UK","E",996
"437","DEL","BOM","UK","E",940
"438","DEL","BOM","UK","E",988
"439","HYD","BOM","9W","M",9921
"440","HYD","BOM","9W","M",457
"441","HYD","BOM","9W","M",7082
"442","HYD","BOM","9W","E",7079
"443","HYD","BOM","9W","E",7018
"444","HYD","BOM","AI","M",615
"445","HYD","BOM","AI","E",619
"446","HYD","BOM","AI","E",50
"447","MAA","BOM","9W","M",350
"448","MAA","BOM","9W","M",465
"449","MAA","BOM","9W","E",7013
"450","MAA","BOM","9W","E",467
"451","MAA","BOM","9W","E",487
"452","MAA","BOM","AI","M",671
"453","MAA","BOM","AI","M",570
"454","MAA","BOM","AI","E",94
"455","PNQ","BOM","9W","M",618
"456","BLR","CCU","9W","M",662
"457","BLR","CCU","9W","E",7049
"458","BLR","CCU","AI","E",771
"459","BOM","CCU","9W","M",618
"460","BOM","CCU","9W","E",628
"461","BOM","CCU","9W","E",610
"462","BOM","CCU","AI","M",676
"463","DEL","CCU","9W","M",7143
"464","DEL","CCU","9W","E",904
"465","DEL","CCU","AI","M",763
"466","DEL","CCU","AI","M",21
"467","DEL","CCU","AI","M",733
"468","DEL","CCU","AI","E",23
"469","DEL","CCU","AI","E",701
"470","HYD","CCU","AI","E",526
"471","MAA","CCU","9W","E",7153
"472","MAA","CCU","AI","E",765
"473","BDQ","DEL","AI","E",819
"474","BLR","DEL","9W","M",817
"475","BLR","DEL","9W","M",807
"476","BLR","DEL","9W","M",837
"477","BLR","DEL","9W","E",827
"478","BLR","DEL","9W","E",811
"479","BLR","DEL","9W","E",834
"480","BLR","DEL","9W","E",7132
"481","BLR","DEL","9W","E",819
"482","BLR","DEL","AI","M",803
"483","BLR","DEL","AI","M",506
"484","BLR","DEL","AI","E",504
"485","BLR","DEL","AI","E",88
"486","BLR","DEL","UK","M",889
"487","BLR","DEL","UK","E",813
"488","BOM","DEL","9W","M",332
"489","BOM","DEL","9W","M",302
"490","BOM","DEL","9W","E",356
"491","BOM","DEL","9W","E",384
"492","BOM","DEL","9W","E",334
"493","BOM","DEL","9W","E",362
"494","BOM","DEL","AI","M",865
"495","BOM","DEL","AI","M",349
"496","BOM","DEL","AI","M",887
"497","BOM","DEL","AI","E",441
"498","BOM","DEL","AI","E",24
"499","BOM","DEL","AI","E",315
"500","BOM","DEL","UK","M",943
"501","BOM","DEL","UK","M",975
"502","BOM","DEL","UK","E",977
"503","BOM","DEL","UK","E",981
"504","BOM","DEL","UK","E",993
