"","Arr","Dep","Airline","Curr_Time","FlightNo","FareVar","FareSD","FareMean","CorFareDifnDays","covFareDifnDays"
"100","BLR","CCU","6E","E",716,425029.451933124,651.942828730499,6771.29545454545,-0.287908281834184,-348.595872518286
"101","BLR","CCU","6E","E",342,650649.752248216,806.628633417024,7464.47154471545,-0.0585047197975699,-102.847088103534
"102","BLR","CCU","6E","M",345,610078.758985201,781.07538623695,7175.40909090909,-0.245440267730818,-414.455602536998
"103","BLR","CCU","G8","M",113,3295399.52921109,1815.32353293045,15235.4285714286,-0.747341265319242,-2879.30959488273
"104","BLR","CCU","G8","E",102,3295399.52921109,1815.32353293045,15235.4285714286,-0.747341265319242,-2879.30959488273
"105","BLR","CCU","SG","M",514,1110986.14072495,1054.0332730635,5929.35714285714,-0.397145554400851,-888.422174840085
"106","BLR","CCU","SG","E",658,780311.211798152,883.352258047803,6093.34523809524,-0.03394483525665,-63.6389481165601
"107","BOM","CCU","6E","M",318,1500674.84678945,1225.02034545939,7186.51219512195,0.00239915374885451,6.28222996515679
"108","BOM","CCU","6E","E",388,1675053.19029068,1294.23845959339,7886.7323943662,-0.44826846156587,-1422.27609629408
"109","BOM","CCU","6E","M",462,154019.153058677,392.452739904663,6280.35555555556,-0.0845959765669691,-67.7375780274657
"110","BOM","CCU","6E","E",588,798019.82287271,893.319552496591,8141.03092783505,0.223331169616077,356.271139362214
"111","BOM","CCU","G8","M",368,1323299.92389937,1150.34774042433,15561.775,-0.702952621131723,-1711.06352201258
"112","BOM","CCU","G8","E",537,5917196.12200121,2432.52875049838,12554.6202531646,-0.646844044600978,-3199.08848704039
"113","BOM","CCU","G8","M",330,3673448.84987013,1916.62433717986,14585.8636363636,-0.63537607692107,-2596.45818181818
"114","BOM","CCU","SG","M",488,747236.58493248,864.428472999635,5454.65476190476,-0.500216895064486,-917.70433546553
"115","DEL","CCU","6E","M",746,111294.353652022,333.608083912878,4186.38787878788,0.0346778391474787,24.2905959288938
"116","DEL","CCU","6E","E",224,32365.1906976744,179.903281508911,4102.44186046512,-0.266095485369429,-98.9948016415869
"117","DEL","CCU","6E","E",476,155842.412938005,394.768809479682,4300.60377358491,0.259899860697836,228.872416891285
"118","DEL","CCU","G8","E",102,54575.5812011372,233.614171661604,4242.47023809524,0.170587735504364,84.5789623312011
"119","DEL","CCU","SG","M",242,160350.149218195,400.437447322543,3258.50595238095,0.131419645374859,111.688983653163
"120","DEL","CCU","SG","E",264,67123.8629082774,259.082733713147,2669.38666666667,-0.0420395946775049,-21.8735570469799
"121","DEL","CCU","SG","E",254,63495.697994769,251.983527229002,2675.61290322581,0.0851365722935398,47.4877070619006
"122","HYD","CCU","6E","M",788,3110059.05373134,1763.53595192481,6973.25,-0.815541396393448,-3052.42985074627
"123","HYD","CCU","6E","E",354,893066.797885971,945.022115024813,6325.26785714286,-0.567119075799284,-1124.61467008328
"124","HYD","CCU","SG","E",673,516674.27289005,718.800579361237,3866.07638888889,-0.428511873309863,-642.810443283004
"125","MAA","CCU","6E","M",271,318407.674647572,564.27623966243,4470.91463414634,-0.133019056330598,-161.148131573059
"126","MAA","CCU","6E","E",291,515307.055337691,717.848908432471,4934.23529411765,-0.0804646890262401,-138.891067538126
"127","MAA","CCU","6E","E",534,183930.096884422,428.870722810991,4382.44,0.0800717266962153,65.6988944723618
"128","BDQ","DEL","6E","M",702,7906512.26652452,2811.85210609031,4119.32142857143,-0.491492309709426,-2933.08443496802
"129","BDQ","DEL","6E","E",775,3124007.50191898,1767.48620982427,4886.85714285714,-0.461505536376007,-1731.20426439232
"130","BLR","DEL","6E","M",133,780624.522635259,883.529582207217,5917.86713286713,-0.013124869034277,-24.2582995951417
"131","BLR","DEL","6E","E",141,998567.486984127,999.283486796478,5998.25396825397,0.187460898762788,383.588825396825
"132","BLR","DEL","6E","E",131,1150854.93372825,1072.77907032541,6599.56756756757,0.0538998338510891,122.101443909663
"133","BLR","DEL","6E","M",109,293875.282758621,542.102649650987,5998.6,0.616731171416354,757.744827586207
"134","BLR","DEL","6E","E",963,2309665.50724638,1519.75837133617,6620,0.0887450337905823,306.971014492754
"135","BLR","DEL","6E","E",691,485887.695560254,697.056450770132,5800.54545454545,0.0209068373840861,31.4080338266385
"136","BLR","DEL","G8","M",113,623178.875690061,789.416794659235,6010.77844311377,0.079788255472757,133.754365143587
"137","BLR","DEL","G8","E",117,1079528.36584169,1039.00354467234,6249.90666666667,0.0203733185451807,44.2541360089186
"138","BLR","DEL","G8","E",396,568070.759358289,753.70468975474,7613.70588235294,-0.0976926921472082,-83.7914438502674
"139","BLR","DEL","G8","M",317,0,0,7008,NA,0
"140","BLR","DEL","SG","M",191,821029.915422886,906.107011021814,4599.41666666667,0.0222881720694833,42.8616915422886
"141","BLR","DEL","SG","E",197,1668956.36985215,1291.88094259964,5312.06779661017,0.384964388369152,1033.26462315182
"142","BLR","DEL","SG","E",143,1044236.79353535,1021.87905034566,4631.88,0.141458540048033,263.901414141414
"143","BOM","DEL","6E","M",933,0,0,7332,NA,0
"144","BOM","DEL","6E","E",665,251687.675741077,501.684837065141,4708.79310344828,0.519550100497095,584.275862068965
"145","BOM","DEL","6E","M",171,489142.759832692,699.387417553885,4845.40163934426,-0.209035756041225,-281.475983269244
"146","BOM","DEL","6E","E",129,339740.536434109,582.872658849348,4969.05555555556,-0.344657274317579,-400.113695090439
"147","BOM","DEL","6E","E",843,325385.105820106,570.425372700151,5089.07142857143,0.0901657732107743,73.5740740740741
"148","BOM","DEL","6E","E",185,844193.61038961,918.800092723989,4880.09090909091,-0.883822400767227,-1976.1645021645
"149","BOM","DEL","G8","M",330,948282.661246612,973.798059787866,5218.97222222222,-0.385952242504188,-785.128532713899
"150","BOM","DEL","G8","E",342,379275.026833218,615.853088677176,4858.56060606061,-0.618688600293986,-834.662155910248
"151","BOM","DEL","G8","E",340,298796.266666667,546.622599849902,4924.33333333333,-0.217272390906402,-247.628070175439
"152","BOM","DEL","G8","M",334,1492337.73015873,1221.6127578569,5509.38888888889,-0.305900470026771,-881.806349206349
"153","BOM","DEL","SG","M",157,2533248.10742715,1591.61807838035,3921.74404761905,-0.410760238242417,-1387.53077469794
"154","BOM","DEL","SG","E",159,290012.055188679,538.527673558824,3580.7125,-0.472400917007063,-559.476179245283
"155","BOM","DEL","SG","E",169,156192.538051948,395.212016583438,3602.60227272727,-0.33285722673087,-270.060974025974
"156","CCU","DEL","6E","M",861,303056.870950082,550.506013545794,4505.81690140845,-0.3811060632967,-431.759617777335
"157","CCU","DEL","6E","E",299,181787.543812509,426.365504951455,4311.37931034483,-0.229519517748227,-212.438871473354
"158","CCU","DEL","6E","M",219,160566.375886525,400.707344437964,4307.91666666667,-0.277569606496938,-207.962765957447
"159","CCU","DEL","6E","E",307,417525.147368421,646.161858490906,4725.1,-0.64361948278171,-797.115789473684
"160","CCU","DEL","G8","E",537,2872302.41179815,1694.78683373401,11168.9880952381,-0.717123723631494,-2579.43468372424
"161","CCU","DEL","G8","M",101,465056.637355919,681.950612109058,4620.59880239521,-0.185342537382357,-267.332596069123
"162","CCU","DEL","SG","M",263,223108.195860531,472.343302969917,3110.17964071856,-0.296799204759342,-297.550952149755
"163","CCU","DEL","SG","E",253,619407.903198294,787.024715748047,3604.96428571429,-0.0619570859697289,-103.489125799574
"164","HYD","DEL","6E","M",765,158721.920283954,398.399197142708,3674.95483870968,-0.153413534573063,-129.254828270174
"165","HYD","DEL","6E","E",767,195570.091313131,442.233073517949,3916.64,0.02518109901381,24.809696969697
"166","HYD","DEL","6E","E",689,132253.990920506,363.667418007863,4190.19607843137,-0.115173786981535,-85.1967545638945
"167","HYD","DEL","6E","E",9767,169600.606060606,411.825941461446,5463.66666666667,-0.942990333582889,-545.030303030303
"168","HYD","DEL","6E","M",303,44979.3777777778,212.083421741959,4179.6,0.958372715006831,290.622222222222
"169","HYD","DEL","SG","M",123,461584.475586354,679.400085065018,2739.08928571429,-0.145467093436869,-209.751812366738
"170","HYD","DEL","SG","E",125,351777.225550817,593.108106124691,2982.85119047619,0.258710377195952,325.658990760483
"171","MAA","DEL","6E","M",285,206222.856090903,454.11766767095,4551.62921348315,-0.378213372260336,-357.944074144607
"172","MAA","DEL","6E","E",429,594770.683048646,771.213772600468,4978.40845070423,-0.291758529888708,-485.82609129957
"173","MAA","DEL","6E","M",606,443276.656179775,665.79024938773,4635.53333333333,-0.113213390788726,-159.041198501873
"174","MAA","DEL","6E","E",519,316500.39943316,562.583682160405,4986.71232876712,0.060033756056873,66.5061880018895
"175","MAA","DEL","6E","E",613,438716.673635308,662.356908045283,5755.7619047619,-0.396629521405758,-624.926829268293
"176","MAA","DEL","6E","M",859,684828.096728307,827.543410781759,4815.8947368421,-0.473825944005198,-1010.679943101
"177","MAA","DEL","G8","E",303,2231553.71553412,1493.838584163,13088.8872180451,-0.596715806673999,-1644.4435239041
"178","MAA","DEL","G8","M",305,5698174.09198047,2387.08485227913,13230.8416666667,-0.405994168563806,-2023.5739888424
"179","MAA","DEL","SG","M",107,920292.543248045,959.318791251399,3454.42261904762,-0.221847542840754,-451.682160625444
"180","MAA","DEL","SG","E",109,969404.960305615,984.583648201419,4212.77976190476,-0.0781701342324335,-163.346126510306
"181","PNQ","DEL","6E","M",643,2029094.46138745,1424.4628676759,6215.01226993865,-0.427562473677611,-1292.04041529023
"182","PNQ","DEL","6E","E",763,763014.27618188,873.506883877786,6098.25196850394,-0.210187401092822,-377.382372163954
"183","PNQ","DEL","6E","E",221,0,0,7068,NA,0
"184","PNQ","DEL","6E","E",671,1001842.53746254,1000.92084475374,6046.53846153846,-0.548408062771182,-1284.19380619381
"185","PNQ","DEL","G8","M",173,2804279.40639659,1674.59828209532,7353.14285714286,-0.290806851894459,-1033.54797441365
"186","PNQ","DEL","G8","E",171,2599207.26106893,1612.20571301212,6779.39316239316,-0.284451742865425,-1006.74692784564
"187","PNQ","DEL","G8","E",175,1071226.69151621,1035.00081715727,6958.37254901961,-0.34591775093701,-690.403805086391
"188","PNQ","DEL","SG","M",185,3203244.55574913,1789.76103314077,5417.125,-0.519900918547204,-1991.84668989547
"189","PNQ","DEL","SG","E",188,810229.424307036,900.127448924338,4756.85714285714,-0.278903002172088,-532.810234541578
"190","BLR","HYD","6E","M",457,797824.524436396,893.210235295362,3750.96598639456,-0.405743228222661,-761.055164728007
"191","BLR","HYD","6E","E",265,1559093.90100326,1248.63681709425,4466.91954022988,-0.332526903652801,-856.872167962262
"192","BLR","HYD","6E","E",357,326264.487421384,571.195664743163,4140.125,-0.675726967732739,-741.232704402516
"193","BLR","HYD","SG","M",1035,5809752.96286425,2410.34291395732,3781.14880952381,-0.352220292107139,-1801.80824449183
"194","BLR","HYD","SG","E",1038,2584472.18337151,1607.62936753827,3774.88513513513,-0.56849903900337,-1866.92354557948
"195","BOM","HYD","6E","M",319,412530.393868511,642.285290091959,2894.71830985915,-0.453977603984585,-639.754441845419
"196","BOM","HYD","6E","E",231,455827.295103487,675.14983159554,4359.83832335329,-0.613215414138018,-875.66323209437
"197","BOM","HYD","SG","M",704,456875.497938877,675.925660068381,1744.19047619048,-0.374528331906551,-537.27789623312
"198","BOM","HYD","SG","E",468,803376.830561478,896.312908844606,2644.36904761905,-0.420884499543836,-800.641222459133
"199","CCU","HYD","6E","M",353,1591774.96453006,1261.65564419538,8554.11728395062,-0.694674294278268,-1825.21904980316
"200","CCU","HYD","6E","E",539,4344169.77896233,2084.26720431003,9468.5119047619,-0.43915808836073,-1942.62800284293
"201","DEL","HYD","6E","M",738,1405881.16098574,1185.69859618106,4995.16560509554,-0.166238940249378,-423.080767587147
"202","DEL","HYD","6E","E",564,464620.988179388,681.631123247309,4507.98461538462,-0.04772349210954,-72.2559548559549
"203","DEL","HYD","6E","E",302,395948.530753968,629.244412572705,4631.90625,-0.364465883142636,-351.212301587302
"204","DEL","HYD","SG","E",126,631314.260554371,794.552868319265,2706.17857142857,-0.0802239778908389,-135.282729211087
"205","DEL","HYD","SG","M",124,3837090.89331343,1958.84937994564,4196.3734939759,-0.296550830568784,-1224.24904451643
"206","MAA","HYD","6E","M",872,1328399.24902552,1152.56203695312,2551.83544303797,-0.376162692451904,-927.5612618043
"207","MAA","HYD","6E","E",385,7055041.17586079,2656.13274816241,3582.59459459459,-0.862917908387196,-5083.87597186227
"208","MAA","HYD","6E","E",383,2552919.02056097,1597.78566164582,3336.24427480916,-0.3561333879201,-1071.09294843672
"209","MAA","HYD","SG","M",3714,4721056.90648308,2172.79932494537,3106.09523809524,-0.470687877761953,-1072.26391279403
"210","MAA","HYD","SG","E",3708,2365545.22459133,1538.03290751249,2546.29761904762,-0.421958916170245,-1377.37171286425
"211","MAA","HYD","SG","M",3706,590125.899260102,768.196523853175,1983.7380952381,-0.502917771276395,-783.162777461582
"212","BLR","MAA","6E","M",271,328149.690262971,572.843512892457,2039.70238095238,-0.57312614773927,-696.789481165601
"213","BLR","MAA","6E","E",232,104529.089699274,323.309588010121,1810.11363636364,-0.368049569727397,-236.739975803664
"214","BLR","MAA","6E","E",542,190720.281690141,436.715332556736,1870.33333333333,-0.472288209534271,-440.821596244131
"215","BLR","MAA","SG","M",3301,706733.235273133,840.674274183011,1656.28666666667,-0.283159569161565,-495.973556298774
"216","BLR","MAA","SG","E",3307,1981968.36958067,1407.82398387748,2171.97619047619,0.050832922087916,151.882871357498
"217","BLR","MAA","SG","M",1034,2518433.1968254,1586.95721329385,2956.05555555556,-0.477509157231139,-1000.40952380952
"218","BOM","MAA","6E","M",298,1215739.46666667,1102.60576212292,4704.5,-0.78814337136778,-1449.8
"219","BOM","MAA","6E","E",278,2242008.69637527,1497.33386269571,5948.32142857143,-0.217351454738252,-690.711300639659
"220","BOM","MAA","6E","M",964,727876.278515804,853.156655319411,4044.78378378378,-0.443042883531742,-801.075950526798
"221","BOM","MAA","G8","M",302,548436.261798152,740.564826195622,4053.8630952381,-0.472583792090551,-742.774982231699
"222","BOM","MAA","SG","M",614,735838.770007107,857.810451094592,3301.65476190476,-0.394561244032673,-718.325230987918
"223","BOM","MAA","SG","E",612,2453353.19115139,1566.31835561976,4723.44642857143,0.00897042168335928,29.8200426439232
"224","CCU","MAA","6E","M",527,702383.338252224,838.083133258404,5334.60204081633,-0.37934274371648,-594.272632129775
"225","CCU","MAA","6E","E",729,1274893.35348259,1129.11175420442,5429.70833333333,-0.367817196764348,-881.422885572139
"226","CCU","MAA","6E","M",797,819000.634121274,904.986538088426,5298.35714285714,-0.206503966082748,-390.06372045221
"227","DEL","MAA","6E","M",356,797607.949367089,893.088992971635,5336,-0.364480406561253,-840.329113924051
"228","DEL","MAA","6E","E",796,1712152.41822409,1308.49242192077,5969.74528301887,-0.513433937703875,-1459.31337744791
"229","DEL","MAA","6E","M",652,1470166.69969983,1212.50430914691,5509.02752293578,-0.395117581922611,-916.02917177525
"230","DEL","MAA","6E","E",286,372308.100708104,610.170550508711,5237.35483870968,-0.428184688779475,-533.461578809337
"231","DEL","MAA","6E","M",284,883337.396825397,939.860307080471,5857.55555555556,-0.319019662913828,-656.196825396825
"232","DEL","MAA","G8","M",302,2743774.37437811,1656.43423484849,15390.7916666667,-0.744901037784324,-2618.7144278607
"233","DEL","MAA","G8","E",339,1039066.17905897,1019.34595651279,15524.6134453782,-0.747918906018347,-1357.46168847286
"234","DEL","MAA","SG","M",102,2196192.63706468,1481.95567985844,4878.29166666667,-0.615378734856727,-1935.49950248756
"235","DEL","MAA","SG","E",108,983900.931769723,991.917804946419,4033.39285714286,-0.532765449734518,-1121.57185501066
"236","HYD","MAA","6E","M",384,14591287.6679104,3819.85440401993,4872.125,-0.643826118625236,-5219.5223880597
"237","HYD","MAA","6E","E",118,5365164.30902431,2316.28243291364,3153.05128205128,-0.565682704852004,-3073.95071595072
"238","HYD","MAA","6E","E",343,3254355.633457,1803.98326861892,3285.15503875969,-0.52792298378771,-1956.78731939794
"239","HYD","MAA","SG","M",3713,11043833.3333333,3323.2263439816,12286.5,0.283382313726792,321.666666666667
"240","HYD","MAA","SG","E",3707,770403.669616205,877.726420712174,2165.41071428571,-0.451164445507709,-840.445202558635
"241","HYD","MAA","SG","M",3705,11229260.1177116,3351.00882089433,3820.0875,-0.556313300837866,-3847.75493730408
